Month,Mean TemperatureF
Apr  ,53.100000
Aug  ,70.000000
Dec  ,34.935484
Feb  ,28.714286
Jan  ,32.354839
Jul  ,72.870968
Jun  ,70.133333
Mar  ,35.000000
May  ,62.612903
Nov  ,39.800000
Oct  ,55.451613
Sep  ,63.766667
